"id","income","risk_score","default"
1,1719.76217672389,0.159673980204388,0
2,1884.91125525836,0.144515851279721,0
3,2779.35415707456,0.149180392036214,0
4,2035.25419571229,0.514434259850532,0
5,2064.64386758047,0.492827306268737,0
6,2857.53249344164,0.616342768538743,0
7,2230.4581029946,0.447422890691087,0
8,1367.46938269673,0.0556767152156681,0
9,1656.57357405324,0.00539630954153836,0
10,1777.16901495002,0.221834201132879,0
11,2612.04089871973,0.850963223958388,1
12,2179.90691352868,0.267346206121147,0
13,2200.38572529703,0.598600273253396,0
14,2055.34135797256,0.608599697239697,0
15,1722.07943262296,0.992158440407366,1
16,2893.45656840154,0.191189960809425,0
17,2248.92523911462,0.753390584606677,1
18,1016.69142168518,0.242387337144464,0
19,2350.67795078184,0.327452220022678,0
20,1763.60429613603,0.00353549467399716,0
21,1466.08814700658,0.997424143599346,1
22,1891.01254267085,0.438059504376724,0
23,1486.99777584638,0.997688744915649,1
24,1635.55438535443,0.196719169151038,0
25,1687.48036607537,0.111476795747876,0
26,1156.65334462879,0.250736450543627,0
27,2418.89352224726,0.680476603098214,0
28,2076.68655891826,0.577254296746105,0
29,1430.93153149403,0.416347296210006,0
30,2626.90746053496,0.729181243572384,1
31,2213.23211073841,0.574189733015373,0
32,1852.46425850386,0.5776351490058,0
33,2447.56283052251,0.589999127434567,0
34,2439.06674376652,0.222928340081125,0
35,2410.79054081874,0.103492298629135,0
36,2344.32012705005,0.736506026936695,1
37,2276.95882676879,0.612403756240383,0
38,1969.04414471164,0.951212360523641,1
39,1847.01866813004,0.959875865606591,1
40,1809.76449949381,0.744836050085723,1
41,1652.64651053974,0.434830145677552,0
42,1896.0413609902,0.174775137333199,0
43,1367.30182421587,0.435288068838418,0
44,3084.47798266926,0.762458187760785,1
45,2603.9809991525,0.919029311044142,1
46,1438.44570839833,0.906697582919151,1
47,1798.55758235046,0.815512828994542,1
48,1766.67232318839,0.199752942658961,0
49,2389.98255916816,0.049625585321337,0
50,1958.31546676409,0.478948525618762,0
51,2126.65925699738,0.590393368853256,0
52,1985.72662232565,0.0966202358249575,0
53,1978.56477135434,0.950890234904364,1
54,2684.30114200723,0.162743138615042,0
55,1887.11450717037,0.921506262617186,1
56,2758.23530221477,0.127775072818622,0
57,1225.62359788489,0.662739590508863,0
58,2292.30687481803,0.784041927428916,1
59,2061.92712192231,0.764613161794841,1
60,2107.97078437199,0.672570310533047,0
61,2189.81974137994,0.115665902383626,0
62,1748.83827344535,0.851301487535238,1
63,1833.39630816529,0.617961594834924,0
64,1490.71230844646,0.836411555996165,1
65,1464.10438676221,0.169928224757314,0
66,2151.76432070213,0.0102812200784683,0
67,2224.10488931471,0.323469731258228,0
68,2026.50211336525,0.269682724494487,0
69,2461.13373393987,0.825261356076226,1
70,3025.04234281357,0.933661737013608,1
71,1754.48441697173,0.127791483653709,0
72,845.415562179594,0.913337606238201,1
73,2502.86926223113,0.605233947746456,0
74,1645.3996187088,0.400285166455433,0
75,1655.99569176632,0.665795303415507,0
76,2512.78568484835,0.767599277198315,1
77,1857.6134964745,0.521895700134337,0
78,1389.64114387273,0.394507517106831,0
